id;notes;placed_date;status;total_price;payment_method
1;copy;2020-12-13T02:27:22;COMPLETED;13761;HAND_PAY
2;synthesizing;2020-12-13T15:38:50;COMPLETED;71251;TRANSFER
3;Wooden AI SMTP;2020-12-13T03:03:15;SHIPPING;16352;TRANSFER
4;RSS generating North Dakota;2020-12-13T18:10:01;RETURNSHIPPING;90733;HAND_PAY
5;Expanded;2020-12-13T03:25:23;SHIPPING;15769;CREDIT_CARD
6;Decentralized;2020-12-12T19:58:30;CANCELLED;36051;HAND_PAY
7;Buckinghamshire;2020-12-13T17:48:42;DECLINED;56022;CREDIT_CARD
8;COM;2020-12-13T09:56:52;WAITSHIP;88692;HAND_PAY
9;Fantastic Soft Computer Swedish Krona;2020-12-12T20:41:43;DECLINED;1713;CREDIT_CARD
10;leverage purple killer;2020-12-13T00:18:41;WAITPAYCONFIRM;45224;TRANSFER
