id;name;description;price;image;image_content_type
1;Generic Steel Tuna;website calculating;57374;../fake-data/blob/hipster.png;image/png
2;monetize Principal navigate;wireless Computer;76146;../fake-data/blob/hipster.png;image/png
3;reboot deposit Sri Lanka Rupee;withdrawal Refined Metal Car Division;6255;../fake-data/blob/hipster.png;image/png
4;Generic Metal Tuna;navigating Metical;43291;../fake-data/blob/hipster.png;image/png
5;throughput;Union transmitting;27988;../fake-data/blob/hipster.png;image/png
6;withdrawal Bedfordshire;Credit Card Account;51217;../fake-data/blob/hipster.png;image/png
7;intranet;Ball Australian Dollar;4184;../fake-data/blob/hipster.png;image/png
8;Business-focused;Computer Oklahoma Identity;20520;../fake-data/blob/hipster.png;image/png
9;Security;Data Identity;58781;../fake-data/blob/hipster.png;image/png
10;indigo Sports Human;Personal Loan Account yellow;5182;../fake-data/blob/hipster.png;image/png
